Company Name,Ticker,Market Cap (mil),Avg Volume,Industry,Sector
"MFA Financial","MFA","1174.97","858119","REIT and Equity Trust","Finance"
"M&F Bancorp","MFBP","37.67","437","Banks - Southeast","Finance"
"Manulife Financial Corp","MFC","55916.04","1380437","Insurance - Life Insurance","Finance"
"Microwave Filter Co.","MFCO","1.29","498","Electronics - Miscellaneous Components","Computer and Technology"
"Mizuho Financial Group","MFG","57153.21","1455933","Banks - Foreign","Finance"
"Mercurity Fintech Holding","MFH","78.46","31464","Financial Transaction Services","Business Services"
"mF International Limited","MFI","11.18","239973","Internet - Software","Computer and Technology"
"MidCap Financial Investment Corporation","MFIC","1261.34","334648","Financial - Miscellaneous Services","Finance"
"Medallion Financial","MFIN","224.68","59313","Financial - SBIC & Commercial Industry","Finance"
"Missfresh Limited","MFLTY","0","1706","Retail - Miscellaneous","Retail-Wholesale"
"Mobivity","MFON","19.22","5759","Wireless National","Computer and Technology"
"Mistras Group","MG","290.26","176817","Electronics - Miscellaneous Products","Computer and Technology"
"Magna International","MGA","12470.02","1609701","Automotive - Original Equipment","Auto-Tires-Trucks"
"Mobile Global Esports Inc.","MGAM",".17","32548","Technology Services","Business Services"
"Michelin","MGDDY","23753.15","203972","Rubber - Tires","Auto-Tires-Trucks"
"MGE Energy","MGEE","3675.79","101389","Utility - Electric Power","Utilities"
"","MGF","103.96","65598","Financial - Investment Funds","Finance"
"Minco Capital","MGHCF","1.31","4550","Mining - Gold","Basic Materials"
"Magic Software Enterprises","MGIC","535.18","32455","Computer - Software","Computer and Technology"
"Millennium Group International Holdings Limited","MGIH","17.55","19794","Paper and Related Products","Basic Materials"
"MGM Resorts International","MGM","10924.1","4228974","Gaming","Consumer Discretionary"
"Magnite","MGNI","1914.8","1644380","Internet - Software","Computer and Technology"
"MacroGenics","MGNX","273.02","719996","Medical - Products","Medical"
"MGO Global Inc.","MGOL","7.26","81330","Retail - Apparel and Shoes","Retail-Wholesale"
"MGP Ingredients","MGPI","1117.42","727763","Beverages - Alcohol","Consumer Staples"
"McGrath RentCorp","MGRC","2947.86","301220","Financial - Leasing Companies","Finance"
"Monogram Orthopaedics Inc.","MGRM","76.67","120052","Medical - Instruments","Medical"
"Mangoceuticals, Inc.","MGRX","4.63","356595","Medical - Drugs","Medical"
"MGT Capital Investments","MGTI",".11","110749","Financial - Miscellaneous Services","Finance"
"MeiraGTx","MGTX","449.1","481064","Medical - Biomedical and Genetics","Medical"
"Metagenomi, Inc.","MGX","75.61","292951","Medical - Drugs","Medical"
"Magnolia Oil & Gas Corp","MGY","5387.7","1772504","Oil and Gas - Exploration and Production - United States","Oils-Energy"
"Magyar Bancorp","MGYR","80.8","2270","Banks - Northeast","Finance"
"Meritage Hospitality Group","MHGU","101.44","333","Retail - Restaurants","Retail-Wholesale"
"Mastech Digital","MHH","129.91","12239","Computers - IT Services","Computer and Technology"
"Mohawk Industries","MHK","9211.92","1015207","Textile - Home Furnishing","Consumer Discretionary"
"Maiden Holdings","MHLD","188.57","83320","Insurance - Property and Casualty","Finance"
"","MHN","325.7","58377","Financial - Investment Funds","Finance"
"MI Homes","MHO","4635.36","282044","Building Products - Home Builders","Construction"
"Meihua International Medical Technologies","MHUA","13.24","1131125","Medical - Products","Medical"
"Mitsubishi Heavy Industries","MHVYF","50739.66","11117","Manufacturing - General Industrial ","Industrial Products"
"NFT Limited","MI","12.6","10193","Internet - Commerce","Retail-Wholesale"
"The Middleby","MIDD","7547.72","661516","Manufacturing - General Industrial ","Industrial Products"
"Mawson Infrastructure Group","MIGI","33.95","486222","Computers - IT Services","Computer and Technology"
"","MIN","310.67","131800","Financial - Investment Funds","Finance"
"MIND Technology","MIND","5.15","54673","Technology Services","Business Services"
"Mirion Technologies","MIR","3595.44","2913069","Technology Services","Business Services"
"MIRA Pharmaceuticals, Inc.","MIRA","23.21","3485978","Medical - Biomedical and Genetics","Medical"
"Mirum Pharmaceuticals","MIRM","2003.7","278795","Medical - Biomedical and Genetics","Medical"
"Milestone Pharmaceuticals","MIST","105.47","406622","Medical - Biomedical and Genetics","Medical"
"Mitsubishi Estate Co.","MITEY","18217.39","58846","Real Estate - Development","Finance"
"Mitie Group","MITFY","1900.02","1978","Business - Services","Business Services"
"Mitesco","MITI","5.09","1892","Medical Info Systems","Medical"
"Mitek Systems","MITK","434.78","475976","Computer - Optical Imaging","Computer and Technology"
"Moving iMage Technologies","MITQ","6.08","71217","Technology Services","Business Services"
"Mitsui & Co.","MITSY","62927.3","5914","Metal Products - Distribution","Industrial Products"
"AG Mortgage Investment Trust","MITT","209.82","182882","REIT and Equity Trust","Finance"
"","MIY","344.45","56184","Financial - Investment Funds","Finance"
"Mj Holdings","MJNE",".01","2684","Real Estate - Operations","Finance"
"Majic Wheels","MJWL",".39","45005","Toys - Games - Hobbies","Consumer Discretionary"
"McCormick & Company","MKC","20794.98","1589375","Food - Miscellaneous","Consumer Staples"
"McCormick & Company, Incorporated","MKC.V","20835.24","5539","Food - Miscellaneous","Consumer Staples"
"MKDWELL Tech Inc.","MKDW","4.53","37810","Electronics - Miscellaneous Products","Computer and Technology"
"Markforged Holding Corporation","MKFG","89.43","122752","Manufacturing - General Industrial ","Industrial Products"
"Merck KGaA","MKKGY","21021.25","21786","Medical - Drugs","Medical"
"MARKEL GROUP","MKL","21232.31","49012","Diversified Operations","Conglomerates"
"MKS Instruments","MKSI","7826.19","925890","Electronics - Manufacturing Machinery","Computer and Technology"
"Makita","MKTAY","8353.19","8993","Tools - Handheld","Consumer Discretionary"
"MarketWise","MKTW","187.97","1095387","Technology Services","Business Services"
"MarketAxess","MKTX","10356.63","362460","Securities and Exchanges","Finance"
"MoneyLion","ML","887.57","220795","Financial Transaction Services","Business Services"
"Mesa Laboratories","MLAB","645.47","36814","Medical - Instruments","Medical"
"Melco Resorts & Entertainment Limited","MLCO","3008.08","2687408","Gaming","Consumer Discretionary"
"MOOLEC SCIENCE","MLEC","33.79","36019","Agriculture - Operations","Consumer Staples"
"Malaga Financial","MLGF","205.18","2393","Banks - West","Finance"
"MICROALGO INC","MLGO","1.09","16126526","Technology Services","Business Services"
"Mueller Industries","MLI","10736.59","861058","Metal Products - Procurement and Fabrication","Industrial Products"
"MillerKnoll","MLKN","1666.2","517807","Furniture","Consumer Discretionary"
"Martin Marietta Materials","MLM","37867.53","484487","Building Products - Concrete and Aggregates","Construction"
"Millennium Prime","MLMN","4.2","12330","Business - Services","Business Services"
"MeridianLink","MLNK","1819.4","361415","Technology Services","Business Services"
"Maui Land & Pineapple Company","MLP","491.84","16271","Real Estate - Operations","Finance"
